simulacao,modelo,qtd_sucesso_alegria,qtd_sucesso_raiva,acuracia,precisao,recall,f1-score
sim01,gemini,9,0,0.09,0.5,0.09,0.1525
sim02,gemini,7,0,0.07,0.5,0.07,0.1228
sim03,gemini,7,0,0.07,0.5,0.07,0.1228
sim04,gemini,10,0,0.1,0.5,0.1,0.1667
sim05,gemini,8,1,0.09,0.9444,0.09,0.1552
sim06,gemini,5,2,0.07,1.0,0.07,0.1294
sim07,gemini,9,1,0.1,1.0,0.1,0.1722
sim08,gemini,9,0,0.09,0.45,0.09,0.15
sim09,gemini,4,1,0.05,0.9,0.05,0.0923
sim10,gemini,12,3,0.15,1.0,0.15,0.2502
sim11,gemini,7,1,0.08,0.9375,0.08,0.1403
sim12,gemini,5,2,0.07,0.9167,0.07,0.1277
sim13,gemini,6,1,0.07,0.9286,0.07,0.1249
sim14,gemini,15,1,0.16,1.0,0.16,0.2504
sim15,gemini,8,2,0.1,0.9444,0.1,0.1741
sim16,gemini,12,1,0.13,1.0,0.13,0.2132
sim17,gemini,10,0,0.1,0.5,0.1,0.1667
sim18,gemini,8,0,0.08,0.5,0.08,0.1379
sim19,gemini,14,2,0.16,1.0,0.16,0.2572
sim20,gemini,4,1,0.05,1.0,0.05,0.0937
sim21,gemini,15,2,0.17,1.0,0.17,0.2692
sim22,gemini,13,1,0.14,1.0,0.14,0.226
sim23,gemini,9,1,0.1,1.0,0.1,0.1722
sim24,gemini,6,0,0.06,0.5,0.06,0.1071
sim25,gemini,6,3,0.09,1.0,0.09,0.1637
sim26,gemini,9,1,0.1,0.95,0.1,0.1696
sim27,gemini,9,1,0.1,1.0,0.1,0.1722
sim28,gemini,10,0,0.1,0.5,0.1,0.1667
sim29,gemini,5,0,0.05,0.5,0.05,0.0909
sim30,gemini,10,1,0.11,0.9545,0.11,0.1835
