numero_simulacao,nome_modelo,qtd_sucesso_alegria,qtd_sucesso_raiva,total_alegria,total_raiva,tempo_total_ms,acuracia_alegria,acuracia_raiva,acuracia_geral
1,roboflow_emotion,28,7,50,50,58674.62205886841,0.56,0.14,0.35
2,roboflow_emotion,36,2,50,50,56809.85999107361,0.72,0.04,0.38
3,roboflow_emotion,30,10,50,50,73498.04711341858,0.6,0.2,0.4
4,roboflow_emotion,33,9,50,50,55160.869121551514,0.66,0.18,0.42
5,roboflow_emotion,36,2,50,50,54815.10305404663,0.72,0.04,0.38
6,roboflow_emotion,30,8,50,50,66042.6127910614,0.6,0.16,0.38
7,roboflow_emotion,33,11,50,50,54540.51113128662,0.66,0.22,0.44
8,roboflow_emotion,30,7,50,50,55492.384910583496,0.6,0.14,0.37
9,roboflow_emotion,34,7,50,50,53053.04026603699,0.68,0.14,0.41
10,roboflow_emotion,33,4,50,50,53644.64521408081,0.66,0.08,0.37
11,roboflow_emotion,36,7,50,50,53434.21697616577,0.72,0.14,0.43
12,roboflow_emotion,39,3,50,50,55311.62476539612,0.78,0.06,0.42
13,roboflow_emotion,32,6,50,50,69626.53803825378,0.64,0.12,0.38
14,roboflow_emotion,32,12,50,50,56184.4208240509,0.64,0.24,0.44
15,roboflow_emotion,30,4,50,50,57565.12784957886,0.6,0.08,0.34
16,roboflow_emotion,31,7,50,50,52733.76798629761,0.62,0.14,0.38
17,roboflow_emotion,29,6,50,50,56220.60012817383,0.58,0.12,0.35
18,roboflow_emotion,27,4,50,50,83399.6229171753,0.54,0.08,0.31
19,roboflow_emotion,32,7,50,50,53033.252239227295,0.64,0.14,0.39
20,roboflow_emotion,28,12,50,50,53726.81999206543,0.56,0.24,0.4
21,roboflow_emotion,33,4,50,50,56659.600019454956,0.66,0.08,0.37
22,roboflow_emotion,38,4,50,50,82691.9732093811,0.76,0.08,0.42
23,roboflow_emotion,32,9,50,50,56133.23402404785,0.64,0.18,0.41
24,roboflow_emotion,34,6,50,50,53507.86590576172,0.68,0.12,0.4
25,roboflow_emotion,32,4,50,50,52531.912088394165,0.64,0.08,0.36
26,roboflow_emotion,31,6,50,50,52627.6798248291,0.62,0.12,0.37
27,roboflow_emotion,38,4,50,50,52434.6981048584,0.76,0.08,0.42
28,roboflow_emotion,34,8,50,50,52896.75784111023,0.68,0.16,0.42
29,roboflow_emotion,23,5,50,50,54349.900007247925,0.46,0.1,0.28
30,roboflow_emotion,30,6,50,50,55712.648153305054,0.6,0.12,0.36
