numero_simulacao,nome_modelo,qtd_sucesso_alegria,qtd_sucesso_raiva,total_alegria,total_raiva,tempo_total_ms,acuracia_alegria,acuracia_raiva,acuracia_geral,precisao_alegria,recall_alegria,f1_alegria,precisao_raiva,recall_raiva,f1_raiva,precisao_macro,recall_macro,f1_macro
1.0,roboflow_emotion,28.0,7.0,50.0,50.0,58674.62205886841,0.56,0.14,0.35,0.39436619718309857,0.56,0.4628099173553719,0.2413793103448276,0.14,0.17721518987341772,0.31787275376396307,0.35000000000000003,0.32001255361439485
2.0,roboflow_emotion,36.0,2.0,50.0,50.0,56809.85999107361,0.72,0.04,0.38,0.42857142857142855,0.72,0.5373134328358209,0.125,0.04,0.06060606060606061,0.2767857142857143,0.38,0.2989597467209407
3.0,roboflow_emotion,30.0,10.0,50.0,50.0,73498.04711341858,0.6,0.2,0.4,0.42857142857142855,0.6,0.5,0.3333333333333333,0.2,0.25,0.38095238095238093,0.4,0.375
4.0,roboflow_emotion,33.0,9.0,50.0,50.0,55160.869121551514,0.66,0.18,0.42,0.44594594594594594,0.66,0.532258064516129,0.34615384615384615,0.18,0.23684210526315788,0.39604989604989604,0.42000000000000004,0.38455008488964343
5.0,roboflow_emotion,36.0,2.0,50.0,50.0,54815.10305404663,0.72,0.04,0.38,0.42857142857142855,0.72,0.5373134328358209,0.125,0.04,0.06060606060606061,0.2767857142857143,0.38,0.2989597467209407
6.0,roboflow_emotion,30.0,8.0,50.0,50.0,66042.6127910614,0.6,0.16,0.38,0.4166666666666667,0.6,0.49180327868852464,0.2857142857142857,0.16,0.20512820512820512,0.35119047619047616,0.38,0.3484657419083649
7.0,roboflow_emotion,33.0,11.0,50.0,50.0,54540.51113128662,0.66,0.22,0.44,0.4583333333333333,0.66,0.540983606557377,0.39285714285714285,0.22,0.28205128205128205,0.4255952380952381,0.44,0.4115174443043295
8.0,roboflow_emotion,30.0,7.0,50.0,50.0,55492.384910583496,0.6,0.14,0.37,0.410958904109589,0.6,0.4878048780487805,0.25925925925925924,0.14,0.18181818181818182,0.3351090816844241,0.37,0.3348115299334812
9.0,roboflow_emotion,34.0,7.0,50.0,50.0,53053.04026603699,0.68,0.14,0.41,0.44155844155844154,0.68,0.5354330708661418,0.30434782608695654,0.14,0.19178082191780824,0.372953133822699,0.41000000000000003,0.363606946391975
10.0,roboflow_emotion,33.0,4.0,50.0,50.0,53644.64521408081,0.66,0.08,0.37,0.4177215189873418,0.66,0.5116279069767441,0.19047619047619047,0.08,0.11267605633802817,0.3040988547317661,0.37,0.3121519816573861
11.0,roboflow_emotion,36.0,7.0,50.0,50.0,53434.21697616577,0.72,0.14,0.43,0.45569620253164556,0.72,0.5581395348837209,0.3333333333333333,0.14,0.1971830985915493,0.3945147679324894,0.43,0.37766131673763514
12.0,roboflow_emotion,39.0,3.0,50.0,50.0,55311.62476539612,0.78,0.06,0.42,0.45348837209302323,0.78,0.5735294117647058,0.21428571428571427,0.06,0.09375,0.33388704318936874,0.42000000000000004,0.3336397058823529
13.0,roboflow_emotion,32.0,6.0,50.0,50.0,69626.53803825378,0.64,0.12,0.38,0.42105263157894735,0.64,0.5079365079365079,0.25,0.12,0.16216216216216217,0.3355263157894737,0.38,0.33504933504933504
14.0,roboflow_emotion,32.0,12.0,50.0,50.0,56184.4208240509,0.64,0.24,0.44,0.45714285714285713,0.64,0.5333333333333333,0.4,0.24,0.3,0.4285714285714286,0.44,0.41666666666666663
15.0,roboflow_emotion,30.0,4.0,50.0,50.0,57565.12784957886,0.6,0.08,0.34,0.39473684210526316,0.6,0.47619047619047616,0.16666666666666666,0.08,0.10810810810810811,0.2807017543859649,0.33999999999999997,0.29214929214929214
16.0,roboflow_emotion,31.0,7.0,50.0,50.0,52733.76798629761,0.62,0.14,0.38,0.4189189189189189,0.62,0.5,0.2692307692307692,0.14,0.18421052631578946,0.34407484407484407,0.38,0.34210526315789475
17.0,roboflow_emotion,29.0,6.0,50.0,50.0,56220.60012817383,0.58,0.12,0.35,0.3972602739726027,0.58,0.4715447154471545,0.2222222222222222,0.12,0.15584415584415584,0.30974124809741244,0.35,0.31369443564565513
18.0,roboflow_emotion,27.0,4.0,50.0,50.0,83399.6229171753,0.54,0.08,0.31,0.3698630136986301,0.54,0.4390243902439025,0.14814814814814814,0.08,0.10389610389610389,0.2590055809233891,0.31,0.2714602470700032
19.0,roboflow_emotion,32.0,7.0,50.0,50.0,53033.252239227295,0.64,0.14,0.39,0.4266666666666667,0.64,0.512,0.28,0.14,0.18666666666666668,0.3533333333333334,0.39,0.34933333333333333
20.0,roboflow_emotion,28.0,12.0,50.0,50.0,53726.81999206543,0.56,0.24,0.4,0.42424242424242425,0.56,0.4827586206896552,0.35294117647058826,0.24,0.28571428571428564,0.38859180035650626,0.4,0.3842364532019704
21.0,roboflow_emotion,33.0,4.0,50.0,50.0,56659.60001945496,0.66,0.08,0.37,0.4177215189873418,0.66,0.5116279069767441,0.19047619047619047,0.08,0.11267605633802817,0.3040988547317661,0.37,0.3121519816573861
22.0,roboflow_emotion,38.0,4.0,50.0,50.0,82691.9732093811,0.76,0.08,0.42,0.4523809523809524,0.76,0.5671641791044777,0.25,0.08,0.12121212121212122,0.35119047619047616,0.42,0.34418815015829946
23.0,roboflow_emotion,32.0,9.0,50.0,50.0,56133.23402404785,0.64,0.18,0.41,0.4383561643835616,0.64,0.5203252032520325,0.3333333333333333,0.18,0.23376623376623376,0.38584474885844744,0.41000000000000003,0.3770457185091331
24.0,roboflow_emotion,34.0,6.0,50.0,50.0,53507.86590576172,0.68,0.12,0.4,0.4358974358974359,0.68,0.53125,0.2727272727272727,0.12,0.16666666666666666,0.3543123543123543,0.4,0.3489583333333333
