numero_simulacao,nome_modelo,qtd_sucesso_alegria,qtd_sucesso_raiva,total_alegria,total_raiva,tempo_total_ms,acuracia_alegria,acuracia_raiva,acuracia_geral
1,yolo11_emotion,0,0,50,50,1431.877851486206,0.0,0.0,0.0
2,yolo11_emotion,0,0,50,50,806.412935256958,0.0,0.0,0.0
3,yolo11_emotion,0,0,50,50,797.9309558868408,0.0,0.0,0.0
4,yolo11_emotion,0,0,50,50,808.2690238952637,0.0,0.0,0.0
5,yolo11_emotion,0,0,50,50,1026.5700817108154,0.0,0.0,0.0
6,yolo11_emotion,0,0,50,50,1091.3329124450684,0.0,0.0,0.0
7,yolo11_emotion,0,0,50,50,876.8298625946045,0.0,0.0,0.0
8,yolo11_emotion,0,0,50,50,884.4702243804932,0.0,0.0,0.0
9,yolo11_emotion,0,0,50,50,894.0048217773438,0.0,0.0,0.0
10,yolo11_emotion,0,0,50,50,892.1940326690674,0.0,0.0,0.0
11,yolo11_emotion,0,0,50,50,899.5678424835205,0.0,0.0,0.0
12,yolo11_emotion,0,0,50,50,929.0347099304199,0.0,0.0,0.0
13,yolo11_emotion,0,0,50,50,887.3898983001709,0.0,0.0,0.0
14,yolo11_emotion,0,0,50,50,1215.3339385986328,0.0,0.0,0.0
15,yolo11_emotion,0,0,50,50,923.6469268798828,0.0,0.0,0.0
16,yolo11_emotion,0,0,50,50,1200.047254562378,0.0,0.0,0.0
17,yolo11_emotion,0,0,50,50,977.5919914245605,0.0,0.0,0.0
18,yolo11_emotion,0,0,50,50,942.6760673522949,0.0,0.0,0.0
19,yolo11_emotion,0,0,50,50,925.184965133667,0.0,0.0,0.0
20,yolo11_emotion,0,0,50,50,954.3869495391846,0.0,0.0,0.0
21,yolo11_emotion,0,0,50,50,1759.3679428100586,0.0,0.0,0.0
22,yolo11_emotion,0,0,50,50,1938.4052753448486,0.0,0.0,0.0
23,yolo11_emotion,0,0,50,50,1109.0266704559326,0.0,0.0,0.0
24,yolo11_emotion,0,0,50,50,1496.9301223754883,0.0,0.0,0.0
25,yolo11_emotion,0,0,50,50,1286.3938808441162,0.0,0.0,0.0
26,yolo11_emotion,0,0,50,50,1007.760763168335,0.0,0.0,0.0
27,yolo11_emotion,0,0,50,50,1107.9680919647217,0.0,0.0,0.0
28,yolo11_emotion,0,0,50,50,1759.50288772583,0.0,0.0,0.0
29,yolo11_emotion,0,0,50,50,916.7697429656982,0.0,0.0,0.0
30,yolo11_emotion,0,0,50,50,1263.3671760559082,0.0,0.0,0.0
