numero_simulacao,nome_modelo,qtd_sucesso_alegria,qtd_sucesso_raiva,total_alegria,total_raiva,tempo_total_ms,acuracia_alegria,acuracia_raiva,acuracia_geral,precisao_alegria,recall_alegria,f1_alegria,precisao_raiva,recall_raiva,f1_raiva,precisao_macro,recall_macro,f1_macro,modelo
1.0,google_vision_emotion,14.0,0.0,50.0,50.0,105352.32019424438,0.28,0.0,0.14,0.21875,0.28,0.2456140350877193,0.0,0.0,0.0,0.109375,0.14,0.1228070175438596,Google Vision
2.0,google_vision_emotion,10.0,0.0,50.0,50.0,102797.55401611328,0.2,0.0,0.1,0.1666666666666666,0.2,0.1818181818181818,0.0,0.0,0.0,0.0833333333333333,0.1,0.0909090909090909,Google Vision
3.0,google_vision_emotion,17.0,1.0,50.0,50.0,103303.3971786499,0.34,0.02,0.18,0.2575757575757575,0.34,0.293103448275862,0.0294117647058823,0.02,0.0238095238095238,0.1434937611408199,0.18,0.1584564860426929,Google Vision
4.0,google_vision_emotion,13.0,3.0,50.0,50.0,103417.24228858948,0.26,0.06,0.16,0.2166666666666666,0.26,0.2363636363636364,0.075,0.06,0.0666666666666666,0.1458333333333333,0.16,0.1515151515151515,Google Vision
5.0,google_vision_emotion,15.0,2.0,50.0,50.0,104752.29120254517,0.3,0.04,0.17,0.238095238095238,0.3,0.2654867256637168,0.054054054054054,0.04,0.0459770114942528,0.146074646074646,0.1699999999999999,0.1557318685789848,Google Vision
6.0,google_vision_emotion,10.0,3.0,50.0,50.0,115382.77196884155,0.2,0.06,0.13,0.175438596491228,0.2,0.1869158878504672,0.0697674418604651,0.06,0.064516129032258,0.1226030191758466,0.13,0.1257160084413626,Google Vision
7.0,google_vision_emotion,14.0,2.0,50.0,50.0,94324.66411590576,0.28,0.04,0.16,0.2258064516129032,0.28,0.25,0.0526315789473684,0.04,0.0454545454545454,0.1392190152801358,0.16,0.1477272727272727,Google Vision
8.0,google_vision_emotion,14.0,0.0,50.0,50.0,97896.50011062622,0.28,0.0,0.14,0.21875,0.28,0.2456140350877193,0.0,0.0,0.0,0.109375,0.14,0.1228070175438596,Google Vision
9.0,google_vision_emotion,9.0,2.0,50.0,50.0,96653.91302108765,0.18,0.04,0.11,0.1578947368421052,0.18,0.1682242990654205,0.0465116279069767,0.04,0.043010752688172,0.102203182374541,0.11,0.1056175258767962,Google Vision
10.0,google_vision_emotion,15.0,6.0,50.0,50.0,94202.07810401917,0.3,0.12,0.21,0.2542372881355932,0.3,0.2752293577981651,0.1463414634146341,0.12,0.1318681318681318,0.2002893757751137,0.21,0.2035487448331484,Google Vision
11.0,google_vision_emotion,11.0,3.0,50.0,50.0,94422.96385765076,0.22,0.06,0.14,0.1896551724137931,0.22,0.2037037037037037,0.0714285714285714,0.06,0.0652173913043478,0.1305418719211822,0.14,0.1344605475040257,Google Vision
12.0,google_vision_emotion,8.0,2.0,50.0,50.0,95177.77109146118,0.16,0.04,0.1,0.1428571428571428,0.16,0.1509433962264151,0.0454545454545454,0.04,0.0425531914893617,0.0941558441558441,0.1,0.0967482938578884,Google Vision
13.0,google_vision_emotion,17.0,3.0,50.0,50.0,98279.98805046082,0.34,0.06,0.2,0.265625,0.34,0.2982456140350877,0.0833333333333333,0.06,0.0697674418604651,0.1744791666666666,0.2,0.1840065279477764,Google Vision
14.0,google_vision_emotion,18.0,4.0,50.0,50.0,107680.65309524536,0.36,0.08,0.22,0.28125,0.36,0.3157894736842105,0.1111111111111111,0.08,0.0930232558139534,0.1961805555555555,0.22,0.204406364749082,Google Vision
15.0,google_vision_emotion,14.0,5.0,49.0,50.0,89307.93809890747,0.2857142857142857,0.1,0.1919191919191919,0.2372881355932203,0.2857142857142857,0.2592592592592592,0.125,0.1,0.1111111111111111,0.1811440677966102,0.1928571428571428,0.1851851851851851,Google Vision
16.0,google_vision_emotion,19.0,3.0,50.0,50.0,116392.66085624696,0.38,0.06,0.22,0.2878787878787879,0.38,0.3275862068965517,0.088235294117647,0.06,0.0714285714285714,0.1880570409982175,0.22,0.1995073891625615,Google Vision
17.0,google_vision_emotion,19.0,1.0,50.0,50.0,87549.82805252075,0.38,0.02,0.2,0.2794117647058823,0.38,0.3220338983050848,0.03125,0.02,0.024390243902439,0.1553308823529411,0.2,0.1732120711037619,Google Vision
18.0,google_vision_emotion,8.0,1.0,50.0,50.0,89286.42201423645,0.16,0.02,0.09,0.1403508771929824,0.16,0.1495327102803738,0.0232558139534883,0.02,0.021505376344086,0.0818033455732354,0.09,0.0855190433122299,Google Vision
19.0,google_vision_emotion,14.0,2.0,50.0,50.0,93795.33290863036,0.28,0.04,0.16,0.2258064516129032,0.28,0.25,0.0526315789473684,0.04,0.0454545454545454,0.1392190152801358,0.16,0.1477272727272727,Google Vision
20.0,google_vision_emotion,11.0,5.0,49.0,50.0,86782.24301338196,0.2244897959183673,0.1,0.1616161616161616,0.1964285714285714,0.2244897959183673,0.2095238095238095,0.1162790697674418,0.1,0.1075268817204301,0.1563538205980066,0.1622448979591836,0.1585253456221197,Google Vision
21.0,google_vision_emotion,19.0,3.0,50.0,50.0,114321.10786437988,0.38,0.06,0.22,0.2878787878787879,0.38,0.3275862068965517,0.088235294117647,0.06,0.0714285714285714,0.1880570409982175,0.22,0.1995073891625615,Google Vision
22.0,google_vision_emotion,21.0,2.0,50.0,50.0,93792.50192642212,0.42,0.04,0.23,0.3043478260869565,0.42,0.3529411764705883,0.064516129032258,0.04,0.0493827160493827,0.1844319775596073,0.2299999999999999,0.2011619462599855,Google Vision
23.0,google_vision_emotion,18.0,2.0,50.0,50.0,105165.90905189514,0.36,0.04,0.2,0.2727272727272727,0.36,0.3103448275862069,0.0588235294117647,0.04,0.0476190476190476,0.1657754010695187,0.1999999999999999,0.1789819376026272,Google Vision
24.0,google_vision_emotion,13.0,0.0,49.0,50.0,243045.00818252563,0.2653061224489796,0.0,0.1313131313131313,0.2063492063492063,0.2653061224489796,0.2321428571428571,0.0,0.0,0.0,0.1031746031746031,0.1326530612244898,0.1160714285714285,Google Vision
25.0,google_vision_emotion,12.0,4.0,50.0,50.0,1118830.3940296173,0.24,0.08,0.16,0.2068965517241379,0.24,0.2222222222222222,0.0952380952380952,0.08,0.0869565217391304,0.1510673234811165,0.16,0.1545893719806763,Google Vision
