Modelo,Métrica,Média,DP,Mediana,Min,Max,Q1,Q3,IQR,N
Google Vision,acuracia_geral,0.16416161616161623,0.039794650374270615,0.16,0.09,0.23,0.14,0.19797979797979798,0.057979797979797965,30
Google Vision,acuracia_alegria,0.2845170068027211,0.06916194023679412,0.28285714285714286,0.16,0.42,0.22836734693877547,0.34,0.11163265306122455,30
Google Vision,acuracia_raiva,0.04400000000000001,0.03296811416693617,0.04,0.0,0.12,0.02,0.06,0.039999999999999994,30
Google Vision,precisao_macro,0.14205900308879343,0.0352233086790434,0.14466354723707658,0.0818033455732354,0.2002893757751137,0.11087740384615383,0.1721185034830165,0.06124109963686267,30
Google Vision,recall_macro,0.16425850340136058,0.0397788892753306,0.16,0.09,0.2299999999999999,0.14,0.19821428571428562,0.05821428571428561,30
Google Vision,f1_macro,0.15095404962984812,0.03600796319396658,0.1530522617479139,0.0855190433122299,0.204406364749082,0.12353426526823535,0.17980470092054746,0.0562704356523121,30
Google Vision,tempo_total_ms,139373.36809635162,187083.88540688448,98088.24408054352,86782.24301338196,1118830.3940296173,93897.01920747756,107098.56986999512,13201.550662517562,30
Roboflow,acuracia_geral,0.3849999999999999,0.03692956949990449,0.38,0.28,0.44,0.37,0.4175,0.04749999999999999,30
Roboflow,acuracia_alegria,0.6426666666666668,0.06982408108131875,0.64,0.46,0.78,0.6,0.68,0.08000000000000007,30
Roboflow,acuracia_raiva,0.12733333333333335,0.05394335044721697,0.12,0.04,0.24,0.08,0.155,0.075,30
Roboflow,precisao_macro,0.3396787691947697,0.04739604917562888,0.33980057993215884,0.2472426470588235,0.4285714285714286,0.3055094530731777,0.3789525691699604,0.07344311609678272,30
Roboflow,recall_macro,0.3849999999999999,0.03692956949990449,0.38,0.28,0.44,0.37,0.4175,0.04749999999999999,30
Roboflow,f1_macro,0.33929476028807953,0.03853862192757338,0.33857729910361484,0.2558908639933857,0.4166666666666666,0.31253759515445334,0.3721517365979937,0.05961414144354038,30
Roboflow,tempo_total_ms,58083.79855155945,8390.52714194325,55236.246943473816,52434.6981048584,83399.6229171753,53452.62920856476,56772.294998168945,3319.665789604187,30
