id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
37538,Boys,Apparel,Socks,Booties,Blue,Summer,2012.0,Casual,Madagascar 3 Infant Boys Blue Booties
15168,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Arrow Sport Men Solid Green Polo Tshirts
57705,Women,Personal Care,Skin,Face Moisturisers,White,Spring,2017.0,Casual,Lotus Herbals Sandalwood Sun Screen
13781,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Formal,Belmonte Men Solid Grey Trousers
17051,Men,Footwear,Sandal,Sandals,Tan,Spring,2013.0,Casual,Gas Men Venice Slipper
43281,Women,Accessories,Bags,Handbags,Purple,Winter,2012.0,Casual,Murcia Women Purple Handbag
3814,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Disney Kids Boy's Street Crew Blue Kidswear
31787,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Lee Women Hanna Evergreen Green Top
30122,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Flying Machine Men Printed Navy Blue T-shirt
13351,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011.0,Casual,Spykar Women Washed Black Jeans
53332,Men,Apparel,Innerwear,Boxers,Multi,Summer,2016.0,Casual,Smugglerz Men Multi coloured Check Boxers
14074,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Flying Machine Women Solid White Polo Tshirts
2477,Men,Footwear,Shoes,Sports Shoes,Blue,Fall,2010.0,Sports,Nike Men's LunarFly Blue Shoe
48482,Women,Apparel,Dress,Dresses,Red,Winter,2011.0,Casual,French Connection Women Red Dress
55339,Women,Personal Care,Fragrance,Perfume and Body Mist,Blue,Spring,2017.0,Casual,Revlon Women Perfume
26048,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Formal,John Miller Men Grey Shirt
15510,Men,Footwear,Shoes,Casual Shoes,Charcoal,Fall,2011.0,Casual,Rockport Men CV Toe HI Charcoal Casual Shoes
45093,Women,Apparel,Innerwear,Bra,White,Winter,2015.0,Casual,Bwitch White Spirit Bra
4321,Unisex,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Tantra Kid's Unisex Genius Red Kidswear
17830,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Nike Men Air Max Ultra Black Sports Shoe
59862,Women,Personal Care,Skin,Face Moisturisers,Black,Spring,2017.0,Casual,Olay Women Age Protect  Anti-Ageing Cream
3854,Girls,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Disney Kids Girl's Pink Minnie Sunshine Kidswear
5994,Men,Apparel,Topwear,Shirts,Grey,Summer,2011.0,Casual,Highlander Men Grey Checked Slim Fit Shirt
2631,Women,Footwear,Shoes,Flats,White,Winter,2012.0,Casual,Carlton London Women White Ballerinas
13268,Women,Apparel,Topwear,Tops,Pink,Fall,2011.0,Casual,Palm Tree Kids Girls Printed Pink Tops
29950,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Police Men Black Dial Chronograph Watch PL13092JSB-02
21991,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag
46939,Women,Personal Care,Fragrance,Perfume and Body Mist,Blue,Spring,2017.0,Casual,York Women Euforia Perfume
55558,Women,Personal Care,Makeup,Kajal and Eyeliner,Bronze,Spring,2017.0,Casual,Revlon Baked Bronze Liquid Eye Liner 02
54605,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,Jockey ELANCE Men White Brief 1004
27623,Men,Apparel,Bottomwear,Shorts,Beige,Summer,2012.0,Casual,Scullers Men Beige Shorts
20120,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Wrangler Women Lace Detail Purple Top
26388,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Turtle Men Printed Grey T-shirt
6807,Men,Footwear,Shoes,Casual Shoes,Yellow,Fall,2012.0,Casual,Timberland Men's Prem Wheat Yellow Shoe
54182,Women,Accessories,Bags,Handbags,Green,Summer,2012.0,Casual,Kiara Women Green Handbag
22096,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Numero Uno Men White Shoes
4063,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Myntra Men's Friend White T-shirt
17293,Unisex,Accessories,Bags,Backpacks,Red,Fall,2011.0,Casual,Nike Unisex Backpack
32576,Women,Apparel,Dress,Dresses,Orange,Summer,2012.0,Casual,ONLY Women Orange Party Dress
18679,Men,Apparel,Innerwear,Trunk,Brown,Summer,2016.0,Casual,Hanes Men  Brown Boxer Trunks
58495,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Tonga Women Printed White Top
26448,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2012.0,Sports,Puma Men Kuris Black Sports Shoes
15319,Men,Apparel,Topwear,Jackets,Navy Blue,Fall,2011.0,Casual,Nike Men Solid Navy Blue Jackets
31324,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Aurelia Women Printed Blue Kurta
34547,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Puma Men Leather Black Belt
55500,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017.0,Casual,Revlon Crystal Lilac Colorburst Lip Gloss 002
27276,Women,Apparel,Topwear,Kurtas,Beige,Fall,2011.0,Ethnic,Mother Earth Women Beige Kurta
20144,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Wrangler Men Bull Classic Striped White Shirt
34428,Women,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Myntra Women Love Blue T-shirt
55614,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Numero Uno Men Black Formal Shoes
30472,Women,Apparel,Innerwear,Bra,Black,Summer,2015.0,Casual,Lovable Black All Day Long Bra L0296
15745,Women,Footwear,Shoes,Sports Shoes,Silver,Summer,2012.0,Sports,Nike Women Transform III Silver Sports Shoes
33132,Women,Footwear,Shoes,Heels,Beige,Winter,2015.0,Casual,Catwalk Women Beige Heels
38539,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Puma Men Black California Casual Shoes
29157,Boys,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,United Colors of Benetton Boys Hopeland Pink T-shirt
13949,Women,Accessories,Bags,Handbags,Blue,Summer,2011.0,Casual,United Colors of Benetton Women Solid Blue Handbags
44035,Men,Personal Care,Fragrance,Perfume and Body Mist,Blue,Spring,2017.0,Casual,Boss Men In Motion Perfume
25628,Women,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Fastrack Women Charcoal Grey Dial Watch N6015SL02
8443,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,Jealous 21 Women Jealous Modele Coral Top Pink T-shirt
21956,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag
34777,Women,Accessories,Bags,Handbags,Black,Summer,2015.0,Casual,Be For Bag Women Pack of 3 Bag
41298,Boys,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Gini and Jony Boys Shirt White Shirts
